Date,0Ctrl1Study,#snoozes,intial time set,approx lights out,Hours of Sleep
Nov5,0,3,5:00 AM,11:00 PM,6
Nov6,0,5,5:00 AM,9:00 PM,8
Nov7,0,4,6:00 AM,11:00 PM,7
Nov8,0,2,6:00 AM,10:30 PM,7.5
Nov10,0,2,8:00 AM,12:00 AM,8
Nov11,0,6,7:00 AM,12:00 AM,7
Nov12,0,4,5:00 AM,11:00 PM,6
Nov13,0,1,5:00 AM,11:00 PM,6
Nov14,0,2,5:50 AM,11:00 PM,6.83
Nov15,0,3,6:00,11:00 PM,7
Nov16,0,4,9:00 AM,2:00 AM,7
Nov 18,1,1,5:30 AM,10:30 PM,7
Nov 19,1,3,5:30 AM,11:00 PM,6.5
Nov 20,1,2,6:00 AM,11:00 PM,7
Nov 21,1,1,5:00 AM,9:30 PM,7.5
Nov 22,1,2,7:00 AM,11:00 PM,8
Nov 23,1,0,8:00 AM,1:00 AM,7
Nov 24,1,1,10:00 AM,3:00 AM,7
Nov 25,1,2,5:00 AM,9:00 PM,8
Nov 26,1,2,6:00 AM,9:30 PM,8.5
Nov 27,1,1,9:00 AM,2:00 AM,7
Nov 28,1,0,8:30 AM,12:30 AM,8
Nov 29,1,3,9:00 AM,3:00 AM,6
Nov 30,1,0,8:00 AM,1:00 AM,7
Dec 1,1,1,8:00 AM,2:00 AM,6
Dec 2,1,3,7:00 AM,12:00 AM,7
